track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded
Katoi Ranga Dekhi Duniyay,Amar Pal,bn,Bangla Film,Comic Satire,1,0
Bhalo Bashi Bhalo Bashi,Amit Kumar|Kavita Krishnamurthy,bn,Rabindra Sangeet,Tagore Romantic,7,0
Sandhya Belay Tumi Ami,Asha Bhosle,bn,Adhunik Bangla,Romantic Modern,0,0
Chole Jete Jete Din,Lata Mangeshkar,bn,Adhunik Bangla,Melancholic Modern,0,0
Bulbul Pakhi Maiana,Antara Chwdhury,bn,Children's Music,Children's Rhyme,4,0
Janmadin,Kishore Kumar,bn,Children's Music,Birthday Song,4,0
Ami Jamini Tumi Shashi Hey,Manna Dey,bn,Bangla Film,Romantic Semi-Classical,1,0
Ami Taar Thikana Rakhini,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0
Aar Ki Tomay Chharchhi,Asha Bhosle|R. D. Burman,bn,Adhunik Bangla,Romantic Modern,0,0
Bom Bhole,Kishore Kumar,bn,Devotional,Shiva Devotional,5,0
Gahan Megher Chhaya Ghanay,Manna Dey,bn,Adhunik Bangla,Monsoon Modern,0,0
Kato Naree Achhe E Gokule,Asha Bhosle|Kishore Kumar|Tanuja,bn,Bangla Film,Comic Folk-Film,1,0
Karo Keu Naiko Aami,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
Balo Ki Achhe Go,R. D. Burman,bn,Bangla Film,Romantic Duet,1,0
Ami Gaan Shonabo,Hemant Kumar,bn,Adhunik Bangla,Light Modern,0,0
Na Mon Lage Na,Lata Mangeshkar,bn,Bangla Film,Romantic Retro,1,0
Najar Diyo Na,Kishore Kumar,bn,Adhunik Bangla,Playful Modern,0,0
Mon Janala Khule Dena,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Pora Banshi Shunle E Mon,Asha Bhosle,bn,Adhunik Bangla,Folk-inspired Modern,0,0
Amar Deep Nebhano Raat,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
O Mor Moyna Go,Lata Mangeshkar,bn,Bangla Folk,Folk Song,2,0
Abhimane Chole Jeo Na,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0
Prem Baro Madhur,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Na Na Na Aaj Raate Aar,Manna Dey,bn,Bangla Film,Playful Romantic,1,0
Sedino Akashe Chhilo Kato Tara,Kishore Kumar,bn,Adhunik Bangla,Nostalgic Modern,0,0
Bhuter Raja Dilo Bor,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Fantasy Film Song,4,0
Naam Amar Kishore Kumar Ganguly,Kishore Kumar,bn,Adhunik Bangla,Tribute Song,0,0
Bhoy Dekhas Na (Male) Voice & Guitars,Arijit Singh,bn,Adhunik Bangla,Acoustic Modern,0,0
Hoyto Tomari Janya,Manna Dey,bn,Bangla Film,Romantic Film Song,1,0
Piya Bholo Abhimaan,Ajoy Chakrabarty,bn,Bangla Film,Romantic Retro,1,0
Ami Nei Ami Nei,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
Shono Mon Boli Tomay,R. D. Burman,bn,Adhunik Bangla,Philosophical Modern,0,0
Hai Hai Ki Herilam,Utpalendu Chowdhury,bn,Bangla Folk,Folk Ballad,2,0
Kolkata Kolkata,Bappi Lahiri,bn,Bangla Film,City Travel,1,0
Gharete Bhramar Elo Gunguniye,Arundhati Holme Chowdhury,bn,Adhunik Bangla,Folk-inspired Modern,0,0
Mor Bhabanare Ki Haoway Matalo,Hemant Kumar,bn,Rabindra Sangeet,Tagore Nature,7,0
Ami Ek Jajabar,Bhupen Hazarika,bn,Adhunik Bangla,Wanderer Song,0,0
Dekhore Nayan Melay,Anup Ghoshal,bn,Bangla Folk,Folk Ballad,2,0
Ek Je Chhilo Raja,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Story Song,4,0
Ei Meghla Dine Ekla,Hemant Kumar,bn,Adhunik Bangla,Monsoon Modern,0,0
Ami Pathbhola Ek Pathik Esechhi (Duet),Kanika Banerjee|Suchitra Mitra|Hemant Kumar,bn,Bangla Film,Romantic Duet,1,0
Shudhu Bhalobasha Diye,Hemant Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Deke Deke Kato,R. D. Burman,bn,Bangla Film,Romantic Retro,1,0
Manush Manusher Jannya,Bhupen Hazarika,bn,Bangla Patriotic,Humanist Song,3,0
Aha Ki Ananda,Anup Ghoshal,bn,Children's Music,Fantasy Film Song,4,0
Darjeeling Jatra,R. D. Burman,bn,Children's Music,Travel Comic,4,0
Moner Manush :- (Mon Jakhan Jagli Nare and Milan Habe Kata Dine),Dohar,bn,Bangla Folk,Lalon Baul,2,0
Katha Diye Ele Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Amar Shilpi Tumi Kishore Kumar,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0
Champa Chameli Golaperi Baage,Manna Dey|Sandhya Mukherjee,bn,Bangla Film,Duet Playback,1,0
Nishidin Nishidin,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Jete Jete Pathe Holo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Saat Bhai Champa Jagore,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Antabihin Kate Na Aar Jeno (Baro Shunya Shunya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Ei Mom Jochhonay Ango Bhijiye,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Tomar Pujar Chhaley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Devotional,7,0
Tomate Amate Dekha Hoyechhilo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Jete Jete Pathe Holo,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Ei Sundar Swarnali Sandhaye,Geeta Dutt,bn,Bangla Film,Romantic Playback,1,0
Mayur Aakaash,Bappi Lahiri,bn,Bangla Film,Romantic Playback,1,0
Olir Katha Shune Bakul Hase,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Aebar Pujoye Chaaye,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0
Jani Na Aaj Je Apon,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Takhon Tomar Ekush Bachhar,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Nagor Amar Kancha Peerit,Asha Bhosle|Shailender Singh,bn,Bangla Film,Duet Playback,1,0
Oi Dustu Chokher Mishti Hasi,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0
Mor Bina Othe Kon Sure Baji,Swagatalakshmi Dasgupta,bn,Rabindra Sangeet,Tagore Classic,7,0
Phire Eso Anuradha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Sajani Go Premer Katha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Jete Dao Amay Dekona,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Jibane Ki Pabo Na,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Tolo Chhinnabeena,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Kalo Meyer Payer Tolaaye,Panna Lal Bhattacharjee,bn,Devotional,Shyama Sangeet,5,0
O Amar Sajani Go,Kishore Kumar|Lata Mangeshkar,bn,Bangla Film,Duet Playback,1,0
Chhande Chhande Gaane Gaane,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Badhu Kon Alo (Part 1),Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Nature,7,0
Eshe Hirok Deshe,Anup Ghoshal,bn,Children's Music,Comic Song,4,0
Jana - Gana - Mana - Orchestra,Akashvani Vadya Vrinda,bn,Children's Music,Comic Song,4,0
O Tui Nayan Pakhi Amar Re,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Aasbo Aar Ekdin Aaj Jai,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Chokhe Chokhe Katha Balo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Phire Eso Anuradha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Ami Dur Hote Tomarei Dekhechhi,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Hey Nutan Dekha Dik Aar-Bar,Swagatalakshmi Dasgupta,bn,Rabindra Sangeet,Tagore Classic,7,0
Ek Je Chhilo Maachhi,Antara Chwdhury,bn,Children's Music,Children's Song,4,0
Ami Mon Diye Chi,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Bidhir Bandhan Katbe Tumi,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Maharaja Tomarey Shelam,Anup Ghoshal|Rabi Ghosh,bn,Children's Music,Fantasy Song,4,0
Ami Je Jalsaghare (Stereo),Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0
Aamar Eche Korche Bhalo,Bappi Lahiri|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0
Balo Ki Achhe Go,R. D. Burman,bn,Bangla Film,Romantic Duet,1,0
Tomari Chalar Pathe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Ore Baba Dekho Cheye,Anup Ghoshal,bn,Children's Music,Comic Song,4,0
Keno Kichhu Katha Balo Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Aayre Chhute Aai,Antara Chwdhury,bn,Children's Music,Comic Song,4,0
Je Khanei Thako Sukhe Thako,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Dekhle Kemon Tumi Khel,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Aei Gaaneri Shure Shure,Mohammad Aziz,bn,Bangla Film,Romantic Playback,1,0
Phire Elam Dure Giye,Asha Bhosle|R. D. Burman,bn,Bangla Film,Duet Playback,1,0
Pa Ma Ga Re Sa,Lata Mangeshkar,bn,Devotional,Spiritual,5,0
Na Dir Dir Da,Antara Chwdhury,bn,Children's Music,Comic Song,4,0
Swapna Mahale Ajo Nishirate,Bappi Lahiri,bn,Bangla Film,Romantic Playback,1,0
Nadir Paare Uthchhe Dhonya,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Keu Jane Na Tumi Je Amar,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Ore Amar Mon,Dwijen Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0
Bujhbe Na Keu Bujhbe Na,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Taare Bole Diyo,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Aami Ekjon Saanto Sishto,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Halla Cholechhe Juddhe,Kamu Mukherjee|Jahor Roy,bn,Children's Music,Comic Song,4,0
"O,sona Byang",Antara Chwdhury,bn,Children's Music,Children's Song,4,0
Ki Ashai Bandhi Khelaghar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Chand Aar Shurjo,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0
Jana Ajana Pathey Cholechhi,Kishore Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0
Aay Aay Chhute Aay,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0
Oi Mahasindhur Opar Theke,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Ei Chhande Chhande Bhara,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0
Dinguli Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0
Hridayer Gaan Shikhe To Gaay Go Sabai,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0
Mone Pore Ruby Roy,R. D. Burman,bn,Adhunik Bangla,Urban Nostalgia,0,0
Tumi Jodi Thaktey,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0
Mor Bhabonare (Duet),Saptarshi|SAHANA BAJPEI,bn,Rabindra Sangeet,Tagore Classic,7,0
Namo Mata Saraswati,Sandhya Mukherjee|Tarun Banerjee|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0
O Prajapati Prajapati,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Sagar Sangame,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0
Katha Dao Aabar Asbe,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Tomake Lagche Bhari Chena,Bappi Lahiri|Alka Yagnik,bn,Bangla Film,Duet Playback,1,0
Esho Go Jweley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
Amar Sakal Raser Dhara,Hemant Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0
"Ore Bondhure, Ore Sathi Re",Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Na Bole Esechhi,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Ja Ja Ja Bhule Ja,Lata Mangeshkar,bn,Bangla Film,Melancholy Playback,1,0
Keno Je Kandao Bare Bare,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
E Ki Chanchalata Jage,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Moner Janala Dhore Unki Diye,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Ogo Moner Duyare Danriye Theko Na,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Kichhu To Chahini Ami,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Ektu Baso Chole Jeo Na,Asha Bhosle,bn,Bangla Film,Melancholy Playback,1,0
Akash Keno Daake,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Aakash Bhara,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nature,7,0
Dhoronako Shantrimoshai,Anup Ghoshal,bn,Children's Music,Comic Song,4,0
Aaj Jiban Khunje Pabi,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0
Bhoy Dekhas Na (The Agnee Version),Mohan Kannan,bn,Adhunik Bangla,Romantic Modern,0,0
Ami Sahebo Noi Golamo Noi,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0
Hayre Pora Banshi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Tomader Aasare Aaj,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Amar Mon Manne Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Gun Gun Kare Mon,Amit Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0
Phule Gandha Nei,Asha Bhosle,bn,Bangla Film,Melancholy Playback,1,0
Katha Hoyechhilo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Ami Dukkhake Sukh Bhebe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
E Monihar Amay,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
Ek Din Aaro Gelo,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Na Ekhoni Noy Jabe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Tomar Akash Duti Chokhe,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0
Aar Bilamba Noy,Anup Ghoshal,bn,Children's Music,Comic Song,4,0
Tumi Ele Anek Diner Pare,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Kajol Kajol Chokhe,Geeta Dutt|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0
Tomaar Holo Shuru (db),Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0
Phul Phute Jhore Jaay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Ele Na Tumi Je,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Khelbo Holi Rang Debo Na,Asha Bhosle|Kavita Krishnamurthy,bn,Bangla Film,Duet Playback,1,0
Sajani Go Premer Katha,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Ek Din Pakhi Ure Jabe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Ek Tanete Jemon Temon,Kishore Kumar|Swapan Chakraborty,bn,Bangla Folk,Folk-inspired Light,2,0
Ek Din Pakhi Ure Jabe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Emon Madhur Sandhyay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0
Naari Charitra Bejaay Jatil,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Bhalobeshe Dekei Dekho Na,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Gaane Bhuban Bhoriye Debe,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0
Ei Korechho Bhalo,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Baro Asha Kore Esechhi Go,Arundhati Holme Chowdhury|Hemant Kumar,bn,Rabindra Sangeet,Tagore Classic,7,0
Ore Batas Phulshakhate,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0
Kine De Reshmi Churi,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Moner Naam Madhumati,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Nadir Paare Uthchhe Dhonya,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Bristi Bristi Bristi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Guru Bine Bondhu Naai Re Aar,Amar Pal,bn,Bangla Folk,Regional Folk,2,0
Cigarette Naho Tumi Swet-Pari,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Charon Dhorite Diyo Go (Female),Arundhati Holme Chowdhury,bn,Rabindra Sangeet,Tagore Classic,7,0
Ke Jabi Aay,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Ebar Ami Amar Theke,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Tumi Aamar Asha,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Chokhe Naame Brishti,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Ami Premer Pather Pathik,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Tarpar Tar Aar Par Nei,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0
Aay Khuku Aay (Keta Na Somay),Hemant Kumar|Sravanti Mazumder,bn,Bangla Film,Duet Playback,1,0
Ektuku Chhonwa Lage,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Danriye Achho Tumi Amar Gaaner O Paare,Sandhya Mukherjee,bn,Bangla Film,Romantic Playback,1,0
Moyna Balo Tumi,Asha Bhosle,bn,Bangla Folk,Regional Folk,2,0
Keu Jane Na Tumi Je Amar,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Du Chokhe Brishti,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0
Emon Ekta Jhinuk Khunje,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0
Thuilam Re Mon Padmapatay,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Jana Gana Mana - Military Band,Normon Richardazz|Harbert Murril,bn,Adhunik Bangla,Romantic Modern,0,0
Bone Noy Mone Mor,Manabendra Mukherjee,bn,Adhunik Bangla,Romantic Modern,0,0
Dake Loke Amake Clown,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Kolahal To Baron Holo,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
"Aar Nai Re Bela, Namlo Chhaya",Sumitra Sen,bn,Rabindra Sangeet,Tagore Classic,7,0
Ami Cholte Cholte Theme Gechhi,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Swapan Jodi Madhur Emon,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Madhumas Jay,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Shamla Gaanyer Kajla Meye,Hemant Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0
Dil Dariyar Majhete,Purna Das Baul,bn,Bangla Folk,Baul,2,0
Ami Chaee Chaee Chaee,Sapna Mukherjee,bn,Bangla Film,Romantic Playback,1,0
Tari:- (Ebar Tor Mora Gange and Samal Samal Samal),Dohar,bn,Bangla Folk,Regional Folk,2,0
Madhobi Modhupey Holo Mitali,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Ki Je Kori Dure Jete Hay,Lata Mangeshkar,bn,Bangla Film,Melancholy Playback,1,0
Ami Je Jalsaghare,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Mon Bolchhe,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Amar Balar Kichhu Chhilo Na,Haimanti Shukla,bn,Adhunik Bangla,Romantic Modern,0,0
Chaaridike Paaper Andhar (Manush Janam Diye Bidhi),Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Ami Je Ke Tomar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Shaon Raate Jodi,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Rui Katla Ilish To Noy,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Hay Re Kala Eki Jwala,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Mukhe Bolleye Prem Hoye Na,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0
Chakrita Ami Peyegechi Bela 2441139,Anjan Dutt,bn,Adhunik Bangla,Romantic Modern,0,0
O Amar Pran Sajani (Champabothi Kanya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Jodi Bhabo Bhalobeshe,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0
Andhakarer Ei Raater Sheshe,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Amar Raat Pohaalo (d B),Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nature,7,0
Bangla:- (Ami Bangla Mayer Chhele and Amar Sonar Bangla),Dohar,bn,Bangla Folk,Regional Folk,2,0
Sukno Patar Nupur Paye,Feroza Begum,bn,Nazrul Geeti,Nazrul Romantic,6,0
Jodi Kagoje Lekho Naam,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Na Chahile Jare Paoya Jaay - Manna Dey,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
