track_name,track_artist,language,playlist_genre,playlist_subgenre,genre_encoded,language_encoded
It's your life (feat. Chris Willis),David Guetta,en,edm,progressive electro house,8,1
Howl,Beware Of Darkness,en,rap,southern hip hop,12,1
40th Street Black / We Will Fight,Wu-Tang Clan,en,rap,southern hip hop,12,1
Don't Worry (feat. Ray Dalton) - Matoma Remix,Madcon,en,edm,pop edm,8,1
Dirty Deeds Done Dirt Cheap,AC/DC,en,rock,album rock,13,1
Patiently Waiting,50 Cent,en,rap,gangster rap,12,1
Nabo Anande Jago Aaji,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Stupid for You,Waterparks,en,pop,post-teen pop,10,1
Ei Sundar Swarnali Sandhaye,Geeta Dutt,bn,Bangla Film,Romantic Playback,1,0
Kids in Love - Don Diablo Remix,Kygo,en,pop,dance pop,10,1
Ei Sundar Swarnali Sandhaye,Geeta Dutt,bn,Bangla Film,Romantic Playback,1,0
Tears Don't Fall,Bullet For My Valentine,en,rock,hard rock,13,1
Katha Dao Aabar Asbe,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Na Na Na Kachhe Esona,Asha Bhosle|S. P. Balasubrahmanyam,bn,Bangla Film,Playful Romantic,1,0
Dancer,Gino Soccio,en,edm,progressive electro house,8,1
United We Are,Hardwell,en,edm,big room,8,1
Chaaridike Paaper Andhar (Manush Janam Diye Bidhi),Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Megh Aar Kuyashay Hok,Kishore Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0
BAD KID,Night Lovell,en,rap,gangster rap,12,1
I Feel It Coming,The Weeknd,en,pop,post-teen pop,10,1
Bulbul Pakhi Maiana,Antara Chwdhury,bn,Children's Music,Children's Rhyme,4,0
Breaking the Habit,Linkin Park,en,rock,album rock,13,1
Next To Me,Axel Johansson,en,pop,dance pop,10,1
Sneak Diss (feat. So6ix),Ghostemane,en,rap,gangster rap,12,1
Prem Baro Madhur,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
The Weekend - Funk Wav Remix,SZA,en,pop,electropop,10,1
Badal Kalo Ghirlo Go,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Applause,Lady Gaga,en,pop,post-teen pop,10,1
Fuck You,CeeLo Green,en,edm,pop edm,8,1
Aaj Ei Dintake,Kishore Kumar,bn,Bangla Film,Retro Film Melody,1,0
Won't Get Fooled Again - Original Album Version,The Who,en,rock,hard rock,13,1
Big Faces,Geto Boys,en,rap,southern hip hop,12,1
Faucet Failure,Ski Mask The Slump God,en,rap,gangster rap,12,1
Chocolate Jesus,Tom Waits,en,rock,permanent wave,13,1
Priyotamo Ki Likhi Tomay,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Ami Sahebo Noi Golamo Noi,Hemant Kumar,bn,Bangla Film,Melancholy Playback,1,0
Tari Amar Hathat Dubey Jai,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0
Step by Step,New Kids On The Block,en,r&b,new jack swing,11,1
Ami Jamini Tumi Shashi Hey,Manna Dey,bn,Bangla Film,Romantic Semi-Classical,1,0
Anything Could Happen,Ellie Goulding,en,pop,dance pop,10,1
Ek Din Aaro Gelo,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Madhumas Jay,R. D. Burman,bn,Bangla Film,Romantic Playback,1,0
Blame,Bryson Tiller,en,r&b,neo soul,11,1
Du Chokhe Brishti,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0
O Mago Ma,Antara Chwdhury,bn,Children's Music,Comic Song,4,0
O Aamar Kandher Anchal,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Climbing Walls,Strange Talk,en,pop,indie poptimism,10,1
Chemistry,Wiwek,en,edm,progressive electro house,8,1
Bhoy Dekhas Na (The Agnee Version),Mohan Kannan,bn,Adhunik Bangla,Romantic Modern,0,0
Aebar Pujoye Chaaye,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0
Hoyto Tomari Janya,Manna Dey,bn,Bangla Film,Romantic Film Song,1,0
Little Do You Know,Alex & Sierra,en,edm,pop edm,8,1
Carillon (with Achille Lauro),Nahaze,en,pop,dance pop,10,1
Madhobi Modhupey Holo Mitali,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Baro Bishad Bhara Rajani,Lata Mangeshkar|Chorus,bn,Bangla Film,Duet Playback,1,0
Uma,Panama Wedding,en,pop,indie poptimism,10,1
Calm Down,G-Eazy,en,rap,hip hop,12,1
Naam Amar Kishore Kumar Ganguly,Kishore Kumar,bn,Adhunik Bangla,Tribute Song,0,0
Mor Bina Othe Kon Sure Baji,Swagatalakshmi Dasgupta,bn,Rabindra Sangeet,Tagore Classic,7,0
Akash Keno Daake,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Piya Bholo Abhimaan,Ajoy Chakrabarty,bn,Bangla Film,Romantic Retro,1,0
Khonpar Ei Golap Diye,Sivaji Chatterjee,bn,Adhunik Bangla,Romantic Modern,0,0
Time of Dying,Three Days Grace,en,rock,hard rock,13,1
Sketches of Pain,Audible Mainframe,en,r&b,neo soul,11,1
Cake By The Ocean,DNCE,en,latin,latin hip hop,9,1
We Are,ONE OK ROCK,en,rock,album rock,13,1
The Pressure,The Cranberries,en,rock,album rock,13,1
Baba O Khoka,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Tuesday (feat. Drake),ILOVEMAKONNEN,en,edm,pop edm,8,1
Unwritten,Natasha Bedingfield,en,pop,post-teen pop,10,1
High Hopes,Panic! At The Disco,en,pop,post-teen pop,10,1
Look What You Made Me Do,Taylor Swift,en,pop,post-teen pop,10,1
Since U Been Gone,Kelly Clarkson,en,latin,latin hip hop,9,1
Heartbreaker - 1990 Remaster,Led Zeppelin,en,rock,classic rock,13,1
Amar Bela Je Jai,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Amio Pather Mato,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Chokhe Chokh Rekhe - Kishore Kumar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
King Of The Ghosts Gives 3 Boons,Satyajit Ray,bn,Children's Music,Fantasy Song,4,0
Chirodini Tumi Je Aamar- Male,Kishore Kumar,bn,Bangla Film,Romantic Film Ballad,1,0
Bow Down,I Prevail,en,rock,hard rock,13,1
Make 'Em Say Ugh,Master P,en,rap,southern hip hop,12,1
I Decided,Liv Warfield,en,r&b,neo soul,11,1
Ei Edike Eso Esona,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
I'm Your Baby Tonight,Whitney Houston,en,r&b,new jack swing,11,1
Na Bole Esechhi,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Hridayer Gaan Shikhe To Gaay Go Sabai,Manna Dey,bn,Adhunik Bangla,Philosophical Modern,0,0
Machher Kanta Khonpar Kanta,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Divinity - filous Remix,Porter Robinson,en,pop,indie poptimism,10,1
Whole Lotta Love,Santana,en,rock,classic rock,13,1
Esho Go Jweley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
Drops of Jupiter,Train,en,rock,permanent wave,13,1
Ore Batas Phulshakhate,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Duet Playback,1,0
Sunday Bloody Sunday - Remastered 2008,U2,en,rock,classic rock,13,1
Amra Korbo Joy,Bhupen Hazarika|Chorus,bn,Bangla Patriotic,Inspirational Anthem,3,0
Feelin' Alright,Joe Cocker,en,rock,album rock,13,1
Ogo Moner Duyare Danriye Theko Na,Aarti Mukherji,bn,Bangla Film,Romantic Playback,1,0
Bankroll,Taz,en,rap,gangster rap,12,1
Ami Tomar Majhe Pelam Khunje,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Only Girl,Kali Uchis,en,r&b,neo soul,11,1
Ami Premer Pather Pathik,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Ki Ashai Bandhi Khelaghar,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Dui Naukaye Diya Pa,Alka Yagnik,bn,Bangla Film,Romantic Playback,1,0
Used To,Drake,en,r&b,urban contemporary,11,1
Dinguli Mor,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Nostalgia,7,0
Tonight,MOTi,en,edm,progressive electro house,8,1
WORKIN ME,Quavo,en,latin,latin pop,9,1
Ready For Love,India.Arie,en,r&b,neo soul,11,1
O Montrimoshai,Rabi Ghosh|Anup Ghoshal,bn,Children's Music,Comic Song,4,0
Supernatural,Apollo LTD,en,pop,indie poptimism,10,1
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,en,pop,indie poptimism,10,1
Dekte Dekte Din Chole,Mahendra Kapoor,bn,Bangla Film,Romantic Playback,1,0
Don't Miss Me? - UNKLFNKL Remix,Marianas Trench,en,pop,indie poptimism,10,1
Bhoy Dekhas Na (Male) Voice & Guitars,Arijit Singh,bn,Adhunik Bangla,Acoustic Modern,0,0
Mangaldeep Jwele (Part 1),Lata Mangeshkar|Others,bn,Devotional,Puja Spiritual,5,0
Ice Cream Man,Tyga,en,r&b,urban contemporary,11,1
Amar Balar Kichhu Chhilo Na,Haimanti Shukla,bn,Adhunik Bangla,Romantic Modern,0,0
Amar Ga Chhamchham Kare,Asha Bhosle|Bappi Lahiri,bn,Bangla Film,Duet Playback,1,0
Oxygen,Maia Mitchell,en,pop,post-teen pop,10,1
Afternoon,TENDER,en,pop,indie poptimism,10,1
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,en,rap,southern hip hop,12,1
Gun Gun Kare Mon,Amit Kumar|Asha Bhosle,bn,Bangla Film,Duet Playback,1,0
Finally // beautiful stranger,Halsey,en,pop,dance pop,10,1
Alarm,Olly James,en,edm,progressive electro house,8,1
Glory of Love,Peter Cetera,en,rock,album rock,13,1
Feel,Victors,en,pop,indie poptimism,10,1
Katha Hoyechhilo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Ami Dur Hote Tomarei Dekhechhi,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Taare Bole Diyo,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Malibu,Miley Cyrus,en,pop,dance pop,10,1
Feeling Good,Demun Jones,en,rap,southern hip hop,12,1
Je Chhilo Amar Swapancharini,Srikanto Acharya,bn,Adhunik Bangla,Romantic Modern,0,0
I Found You (with Calvin Harris),benny blanco,en,pop,dance pop,10,1
Aei Gaaneri Shure Shure,Mohammad Aziz,bn,Bangla Film,Romantic Playback,1,0
Town Called Malice,The Jam,en,rock,permanent wave,13,1
Deep Nibhey Gechhey,Indrani Sen,bn,Rabindra Sangeet,Tagore Classic,7,0
Never Know,6LACK,en,r&b,urban contemporary,11,1
Tomar Oi Dhupchhaya Rang,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0
Lovers on the Sun (feat. Sam Martin),David Guetta,en,edm,electro house,8,1
Katha Hoyechhilo,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
Ami Tomar Preme Habo Sabar,Sagar Sen,bn,Rabindra Sangeet,Tagore Romantic,7,0
Cool,Jonas Brothers,en,r&b,hip pop,11,1
Wicked,GRiZ,en,pop,indie poptimism,10,1
Sweet Emotion - Single Version,Aerosmith,en,rock,hard rock,13,1
Radar Love,Golden Earring,en,rock,album rock,13,1
CYANIDE,Daniel Caesar,en,r&b,urban contemporary,11,1
Cameras,Matt and Kim,en,pop,indie poptimism,10,1
All That I Am,Joe,en,r&b,urban contemporary,11,1
Ei Je Nadi Jay Sagare,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
Jibane Ki Pabo Na,Manna Dey,bn,Bangla Film,Romantic Playback,1,0
Amar Sakal Raser Dhara,Hemant Kumar|Aarti Mukherji,bn,Bangla Film,Duet Playback,1,0
Darjeeling Jatra,R. D. Burman,bn,Children's Music,Travel Comic,4,0
Show Me Love - Original Mix,Sam Feldt,en,edm,progressive electro house,8,1
Woke Up Late (feat. Hailee Steinfeld),Drax Project,en,r&b,hip pop,11,1
make daddy proud,blackbear,en,pop,electropop,10,1
Nayan Chherey Geley,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
Hoyto Amake Karo Mone,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Sei Raate Raat Chhilo Purnima,Kishore Kumar,bn,Adhunik Bangla,Romantic Modern,0,0
Karo Keu Naiko Aami,Kishore Kumar,bn,Adhunik Bangla,Melancholic Modern,0,0
In the Air Tonight,Nonpoint,en,rock,hard rock,13,1
O Tota Pakhi Re,Nirmal Mishra,bn,Adhunik Bangla,Romantic Modern,0,0
First Time - Gryffin Remix,Kygo,en,edm,electro house,8,1
Bom Bhole,Kishore Kumar,bn,Devotional,Shiva Devotional,5,0
Electricity,Culture Code,en,edm,pop edm,8,1
"Ogo Kangal, Amare Kangal Karechho",Ritu Guha,bn,Rabindra Sangeet,Tagore Classic,7,0
Balo Ki Achhe Go,R. D. Burman,bn,Bangla Film,Romantic Duet,1,0
Ebar Ami Amar Theke,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Da' Dip,Freak Nasty,en,rap,southern hip hop,12,1
Clan In Da Front,Wu-Tang Clan,en,rap,southern hip hop,12,1
Mon-Majhi Re,R. D. Burman,bn,Bangla Folk,Folk-inspired Modern,2,0
O Amar Pran Sajani (Champabothi Kanya),Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Ei Path Jodi Na Shes Hoy,Sandhya Mukherjee|Hemant Kumar,bn,Bangla Film,Romantic Duet,1,0
Centerfold,The J. Geils Band,en,rock,classic rock,13,1
Adore You,Maisie Peters,en,pop,post-teen pop,10,1
Kar Manjir Baje Rini,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0
Gold,Kiiara,en,pop,indie poptimism,10,1
Blowin' Trees (+ Napdonalds Skit),Nappy Roots,en,rap,southern hip hop,12,1
Gz And Hustlas (feat. Nancy Fletcher),Snoop Dogg,en,rap,gangster rap,12,1
Tomader Aasare Aaj,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Sundari Go Dohai Dohai,Manna Dey,bn,Bangla Film,Playful Folk-Film,1,0
Breakaway,Kelly Clarkson,en,pop,post-teen pop,10,1
Ore Mon-Mayana,Lata Mangeshkar,bn,Bangla Film,Romantic Playback,1,0
Chokhe Naame Brishti,Asha Bhosle,bn,Bangla Film,Romantic Playback,1,0
I'm Shakin',Jack White,en,rock,classic rock,13,1
Klaanti Aamaar Kshamaa Koro,Debabrata Biswas,bn,Rabindra Sangeet,Tagore Classic,7,0
Kobe,Chief Keef,en,rap,southern hip hop,12,1
She Keno Amay,Pankaj Udhas,bn,Adhunik Bangla,Romantic Modern,0,0
Perfect Strangers,Jonas Blue,en,pop,indie poptimism,10,1
Nahin Surya Nahin Jyoti,Anup Jalota,bn,Devotional,Bhajan,5,0
Stardust,Gemini Syndrome,en,rock,hard rock,13,1
Gaane Bhuban Bhoriye Debe,Shyamal Mitra,bn,Adhunik Bangla,Romantic Modern,0,0
Ek Tanete Jemon Temon,Kishore Kumar|Swapan Chakraborty,bn,Bangla Folk,Folk-inspired Light,2,0
Pherano Jabe Na Aar,Hemant Kumar,bn,Bangla Film,Romantic Playback,1,0
Self Importance,Kilo Kish,en,r&b,neo soul,11,1
Treat You Better,Shawn Mendes,en,pop,dance pop,10,1
Feeling Lonely,boy pablo,en,pop,indie poptimism,10,1
Rui Katla Ilish To Noy,Kishore Kumar,bn,Bangla Film,Romantic Playback,1,0
One Woman Man,Dave Hollister,en,r&b,new jack swing,11,1
No Denying,J Hus,en,r&b,urban contemporary,11,1
Sandhya Belay Tumi Ami,Asha Bhosle,bn,Adhunik Bangla,Romantic Modern,0,0
Ekti Kunri Duti Pata,Bhupen Hazarika,bn,Adhunik Bangla,Romantic Modern,0,0
Save It For A Rainy Day,Stephen Bishop,en,rock,classic rock,13,1
Again,Wun Two,en,latin,tropical,9,1
Turnin' Me Up,BJ The Chicago Kid,en,r&b,neo soul,11,1
Aamar Bhalobasar Rajprasade,Manna Dey,bn,Adhunik Bangla,Romantic Modern,0,0
Amar Silpi Kishore Kumar,Kumar Sanu,bn,Bangla Film,Romantic Playback,1,0
